Date-Month,Precipitation,Temp,WTE,Normalized_FCH4
1990-01,0.125,0.31869555,0.928838951,0.071227856
1990-02,0.08,0.247233341,0.913857678,0.193036042
1990-03,0.165,0.451848364,0.898876404,0.500794136
1990-04,0.2,0.614433718,0.91011236,0.631154551
1990-05,0.07,0.744290087,0.928838951,0.729016494
1990-06,0.46,0.91311514,0.936329588,0.470616982
1990-07,0.145,0.946315046,0.928838951,0.236774588
1990-08,0.07,0.952083824,0.898876404,0.13879047
1990-09,0.15,0.812926772,0.876404494,0.029444105
1990-10,0.345,0.60878267,0.865168539,0.027978009
1990-11,0.05,0.470449729,0.861423221,0
1990-12,0.095,0.202378149,0.853932584,0.028833232
1991-01,0.08,0.127148575,0.838951311,0.053756872
1991-02,0.095,0.314457264,0.823970037,0.081368357
1991-03,0.12,0.453496586,0.816479401,0.177886378
1991-04,0.235,0.673181069,0.816479401,0.47806964
1991-05,0.275,0.856016011,0.842696629,0.717287721
1991-06,0.34,0.940899458,0.850187266,0.585827734
1991-07,0.245,0.955851189,0.846441948,0.347587049
1991-08,0.2,0.975158936,0.820224719,0.136346976
1991-09,0.285,0.792559454,0.805243446,0.065974343
1991-10,0.15,0.603013892,0.805243446,0.028955406
1991-11,0.24,0.346362138,0.801498127,0.013317043
1991-12,0.1,0.246762421,0.797752809,0.005009163
1992-01,0.05,0.267247469,0.786516854,0.064752596
1992-02,0.1,0.335766423,0.779026217,0.184850336
1992-03,0.085,0.426065458,0.771535581,0.084789249
1992-04,0.145,0.552389922,0.775280899,0.267073916
1992-05,0.3,0.777725453,0.797752809,0.596090409
1992-06,0.565,0.830233106,0.812734082,0.50091631
1992-07,0.35,0.845302567,0.835205993,0.264263897
1992-08,0.485,0.852955027,0.838951311,0.100794136
1992-09,0.295,0.754179421,0.846441948,0.112767257
1992-10,0.02,0.602660702,0.861423221,0.07782529
1992-11,0.12,0.396161997,0.857677903,0.115821625
1992-12,0.16,0.206616435,0.853932584,0.143066585
1993-01,0.085,0.154579703,0.831460674,0.263653024
1993-02,0.015,0.219095832,0.820224719,0.617837508
1993-03,0.09,0.405227219,0.805243446,0.471960904
1993-04,0.235,0.568872145,0.808988764,0.327794746
1993-05,0.21,0.721921356,0.846441948,0.592913867
1993-06,0.36,0.836119614,0.857677903,0.371288943
1993-07,0.63,0.910642807,0.865168539,0.136346976
1993-08,0.325,0.918295267,0.891385768,0.060109957
1993-09,0.27,0.712149753,0.887640449,0.033231521
1993-10,0.095,0.565811161,0.891385768,0.068295663
1993-11,0.205,0.346362138,0.891385768,0.502138057
1993-12,0.105,0.239580881,0.883895131,0.074893097
1994-01,0.08,0,0.876404494,0.017104459
1994-02,0.07,0.136566988,0.865168539,0.037751985
1994-03,0.095,0.423475394,0.857677903,0.250458155
1994-04,0.24,0.564633859,0.853932584,0.479413561
1994-05,0.22,0.767482929,0.898876404,0.413927917
1994-06,0.735,0.89098187,0.913857678,0.854001222
1994-07,0.295,0.911820108,0.947565543,0.688943189
1994-08,0.33,0.871556393,0.947565543,0.497495418
1994-09,0.265,0.820461502,0.940074906,0.081368357
1994-10,0.215,0.664233577,0.940074906,0.120219914
1994-11,0.17,0.45620438,0.951310861,0.141356139
1994-12,0.055,0.293148105,0.940074906,0.150152718
1995-01,0.095,0.192842006,0.925093633,0.649602932
1995-03,0.085,0.170708736,0.902621723,0.540012217
1995-04,0.08,0.432187426,0.913857678,0.483445327
1995-05,0.14,0.517541794,0.925093633,0.398411729
1995-06,0.215,0.740169531,0.940074906,0.0526573
1995-07,0.155,0.93501295,0.917602996,0.121441662
